City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,83.62,light rain,3.0707,172.7902,Isles Sunset Lodge
1,Jamestown,US,72.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Rikitea,PF,73.27,light rain,-23.1203,-134.9692,People ThankYou
4,Wukari,NG,72.46,overcast clouds,7.85,9.7833,Elimtop
6,Katol,IN,72.16,heavy intensity rain,21.2667,78.5833,Rocks Celibration lawn
9,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
10,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Katobu,ID,76.21,overcast clouds,-4.9408,122.5276,La Ode Husein
23,Norman Wells,CA,78.84,scattered clouds,65.282,-126.8329,Heritage Hotel
30,Poum,NC,71.53,clear sky,-20.2333,164.0167,Gîte kajeon
31,Itaituba,BR,80.47,scattered clouds,-4.2761,-55.9836,Hotel Campos
32,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Yellowknife,CA,70.32,smoke,62.456,-114.3525,The Explorer Hotel
37,Labuhan,ID,77.65,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
43,Hilo,US,87.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
44,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
45,College,US,80.58,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
49,Mahebourg,MU,70.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
52,Mabaruma,GY,74.91,broken clouds,8.2,-59.7833,Monty Brooms Guest House
53,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
58,Hobyo,SO,76.89,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
62,Sorong,ID,81.5,overcast clouds,-0.8833,131.25,waigo splash hotel
63,Dingle,PH,81.36,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
65,Haapiti,PF,82.13,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
67,Cockburn Town,TC,81.7,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
68,La Ronge,CA,80.85,smoke,55.1001,-105.2842,Northland Motor Hotel
70,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
71,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
74,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
76,Hambantota,LK,79.92,overcast clouds,6.1241,81.1185,Bungalow 63
78,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
80,Fortuna,US,84.18,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
82,Fairbanks,US,80.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
83,Ponta Do Sol,PT,74.03,few clouds,32.6667,-17.1,Hotel do Campo
84,Harper,LR,76.03,light rain,4.375,-7.7169,Screensaver
85,Najran,SA,72.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
86,Atuona,PF,77.41,overcast clouds,-9.8,-139.0333,Villa Enata
87,Sai Buri,TH,78.76,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
