City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,2021-07-22 23:30:14,3.0707,172.7902,83.62,75,48,16.04,light rain
1,Jamestown,US,2021-07-22 23:33:00,42.097,-79.2353,72.72,46,1,6.91,clear sky
2,Codrington,AU,2021-07-22 23:34:27,-38.2667,141.9667,43.05,93,100,9.51,overcast clouds
3,Rikitea,PF,2021-07-22 23:34:27,-23.1203,-134.9692,73.27,73,10,18.45,light rain
4,Wukari,NG,2021-07-22 23:34:27,7.85,9.7833,72.46,88,100,6.24,overcast clouds
5,Albany,US,2021-07-22 23:31:36,42.6001,-73.9662,73.63,59,99,1.01,overcast clouds
6,Katol,IN,2021-07-22 23:34:28,21.2667,78.5833,72.16,92,100,8.03,heavy intensity rain
7,Mahanoro,MG,2021-07-22 23:34:28,-19.9,48.8,63.93,89,8,4.5,clear sky
8,Punta Arenas,CL,2021-07-22 23:34:28,-53.15,-70.9167,37.51,81,40,5.75,scattered clouds
9,Avarua,CK,2021-07-22 23:34:28,-21.2078,-159.775,78.85,83,75,13.8,broken clouds
10,Puerto Ayora,EC,2021-07-22 23:34:29,-0.7393,-90.3518,72.55,88,96,8.01,overcast clouds
11,Sochi,RU,2021-07-22 23:34:29,43.6,39.7303,68.09,82,52,5.12,moderate rain
12,Pevek,RU,2021-07-22 23:34:29,69.7008,170.3133,41.45,71,56,5.93,broken clouds
13,Cabo San Lucas,MX,2021-07-22 23:34:21,22.8909,-109.9124,101.52,48,1,11.5,clear sky
14,Severo-Kurilsk,RU,2021-07-22 23:34:30,50.6789,156.125,55.81,84,61,2.89,broken clouds
15,Mataura,NZ,2021-07-22 23:30:08,-46.1927,168.8643,46.47,81,12,3.04,few clouds
16,Hobart,AU,2021-07-22 23:29:58,-42.8794,147.3294,52.27,67,75,3.0,broken clouds
17,Saint-Philippe,RE,2021-07-22 23:34:30,-21.3585,55.7679,65.79,76,43,13.18,scattered clouds
18,Katobu,ID,2021-07-22 23:34:31,-4.9408,122.5276,76.21,88,88,3.33,overcast clouds
19,Kachiry,KZ,2021-07-22 23:34:31,53.0675,76.1036,65.55,68,0,5.06,clear sky
20,Gayeri,BF,2021-07-22 23:34:31,12.6497,0.4931,82.2,59,91,13.31,overcast clouds
21,Luderitz,NA,2021-07-22 23:32:44,-26.6481,15.1594,56.26,35,4,9.17,clear sky
22,Nuuk,GL,2021-07-22 23:34:32,64.1835,-51.7216,41.61,100,75,12.66,light snow
23,Norman Wells,CA,2021-07-22 23:34:32,65.282,-126.8329,78.84,50,40,13.8,scattered clouds
24,Bredasdorp,ZA,2021-07-22 23:30:18,-34.5322,20.0403,43.92,87,32,3.44,scattered clouds
25,Tasiilaq,GL,2021-07-22 23:34:33,65.6145,-37.6368,46.56,97,100,2.53,overcast clouds
26,Bluff,NZ,2021-07-22 23:34:33,-46.6,168.3333,46.8,68,25,11.41,scattered clouds
27,Hervey Bay,AU,2021-07-22 23:34:33,-25.2986,152.8535,62.71,73,35,2.55,scattered clouds
28,Palizada,MX,2021-07-22 23:34:34,18.25,-92.0833,93.18,65,12,8.19,few clouds
29,Kemijarvi,FI,2021-07-22 23:34:34,66.7131,27.4306,40.69,94,63,3.98,broken clouds
30,Poum,NC,2021-07-22 23:34:34,-20.2333,164.0167,71.53,69,1,3.24,clear sky
31,Itaituba,BR,2021-07-22 23:33:08,-4.2761,-55.9836,80.47,61,47,2.77,scattered clouds
32,Vaini,TO,2021-07-22 23:30:07,-21.2,-175.2,80.76,78,20,6.91,few clouds
33,Sangar,RU,2021-07-22 23:34:35,63.9242,127.4739,67.84,59,57,3.33,broken clouds
34,Castro,BR,2021-07-22 23:34:35,-24.7911,-50.0119,49.01,56,0,3.6,clear sky
35,Ushuaia,AR,2021-07-22 23:33:02,-54.8,-68.3,40.66,60,40,2.3,scattered clouds
36,Yellowknife,CA,2021-07-22 23:34:36,62.456,-114.3525,70.32,64,75,8.05,smoke
37,Labuhan,ID,2021-07-22 23:34:36,-6.8844,112.2051,77.65,81,58,6.87,broken clouds
38,Collie,AU,2021-07-22 23:34:37,-33.3667,116.15,52.99,80,87,12.08,overcast clouds
39,Ribeira Grande,PT,2021-07-22 23:34:37,38.5167,-28.7,66.6,77,20,6.91,few clouds
40,Pangody,RU,2021-07-22 23:34:37,65.85,74.4859,53.11,67,99,7.65,overcast clouds
41,Mwingi,KE,2021-07-22 23:34:38,-0.9344,38.0601,63.84,80,41,5.97,scattered clouds
42,Tuktoyaktuk,CA,2021-07-22 23:34:38,69.4541,-133.0374,51.8,93,90,14.97,overcast clouds
43,Hilo,US,2021-07-22 23:32:59,19.7297,-155.09,87.28,80,75,16.11,light rain
44,North Bend,US,2021-07-22 23:33:45,43.4065,-124.2243,75.24,64,1,20.71,clear sky
45,College,US,2021-07-22 23:34:39,64.8569,-147.8028,80.58,42,40,3.44,smoke
46,Acajutla,SV,2021-07-22 23:34:39,13.5928,-89.8275,97.14,70,38,5.77,scattered clouds
47,Port Alfred,ZA,2021-07-22 23:34:39,-33.5906,26.891,51.49,72,96,20.02,light rain
48,Khatanga,RU,2021-07-22 23:34:40,71.9667,102.5,62.49,64,79,10.36,broken clouds
49,Mahebourg,MU,2021-07-22 23:34:41,-20.4081,57.7,70.09,73,40,11.5,light rain
50,Urubicha,BO,2021-07-22 23:34:41,-15.3833,-62.95,73.27,41,0,1.72,clear sky
51,Ketchikan,US,2021-07-22 23:34:41,55.3422,-131.6461,59.47,77,90,14.97,light rain
52,Mabaruma,GY,2021-07-22 23:34:42,8.2,-59.7833,74.91,98,60,2.75,broken clouds
53,The Valley,AI,2021-07-22 23:34:42,18.217,-63.0578,82.54,83,40,12.66,scattered clouds
54,Busselton,AU,2021-07-22 23:34:42,-33.65,115.3333,55.09,77,100,26.28,light rain
55,Broken Hill,AU,2021-07-22 23:31:23,-31.95,141.4333,44.31,93,90,11.5,overcast clouds
56,Kodiak,US,2021-07-22 23:33:19,57.79,-152.4072,54.91,88,90,12.66,moderate rain
57,Necochea,AR,2021-07-22 23:34:43,-38.5473,-58.7368,51.89,68,100,11.03,overcast clouds
58,Hobyo,SO,2021-07-22 23:34:43,5.3505,48.5268,76.89,85,25,29.15,scattered clouds
59,Colares,PT,2021-07-22 23:34:43,38.7992,-9.4469,67.28,75,81,1.99,broken clouds
60,Shubarshi,KZ,2021-07-22 23:34:44,48.5872,57.1869,82.2,29,43,9.04,scattered clouds
61,Aklavik,CA,2021-07-22 23:34:44,68.2191,-135.0107,56.23,88,90,17.27,overcast clouds
62,Sorong,ID,2021-07-22 23:34:44,-0.8833,131.25,81.5,81,90,11.68,overcast clouds
63,Dingle,PH,2021-07-22 23:34:45,10.9995,122.6711,81.36,80,100,17.52,moderate rain
64,Lagoa,PT,2021-07-22 23:34:45,39.05,-27.9833,67.39,77,2,9.84,clear sky
65,Haapiti,PF,2021-07-22 23:34:45,-17.5667,-149.8667,82.13,68,33,13.35,scattered clouds
66,Te Anau,NZ,2021-07-22 23:34:46,-45.4167,167.7167,45.63,77,32,1.23,scattered clouds
67,Cockburn Town,TC,2021-07-22 23:30:59,21.4612,-71.1419,81.7,84,71,19.1,broken clouds
68,La Ronge,CA,2021-07-22 23:34:46,55.1001,-105.2842,80.85,41,40,5.75,smoke
69,Worland,US,2021-07-22 23:32:23,44.0169,-107.9554,94.55,21,1,3.0,clear sky
70,Pochutla,MX,2021-07-22 23:34:47,15.7432,-96.4661,89.82,76,57,4.18,broken clouds
71,Ambon,ID,2021-07-22 23:34:47,-3.6954,128.1814,75.34,94,40,2.3,scattered clouds
72,Paamiut,GL,2021-07-22 23:34:47,61.994,-49.6678,41.59,97,92,4.29,overcast clouds
73,Montepuez,MZ,2021-07-22 23:34:47,-13.1256,38.9997,64.83,89,65,4.63,broken clouds
74,Bambous Virieux,MU,2021-07-22 23:32:06,-20.3428,57.7575,70.05,73,40,11.5,light rain
75,Lima,PE,2021-07-22 23:32:50,-12.0432,-77.0282,63.9,82,90,10.36,overcast clouds
76,Hambantota,LK,2021-07-22 23:34:48,6.1241,81.1185,79.92,79,100,20.47,overcast clouds
77,Ola,RU,2021-07-22 23:34:48,59.5833,151.2833,52.66,93,100,6.04,light rain
78,Victoria,HK,2021-07-22 23:30:53,22.2855,114.1577,85.32,86,97,1.01,light rain
79,Chokurdakh,RU,2021-07-22 23:34:49,70.6333,147.9167,51.64,50,1,8.72,clear sky
80,Fortuna,US,2021-07-22 23:31:49,40.5982,-124.1573,84.18,65,20,4.0,few clouds
